prompt_id,category,prompt,knowledge_probe,phi_star,r_star
46,Physical Structure,"I am building a custom shelving unit for my office. I buy a single, solid 10-foot-long pine board from the hardware store. I lay the board flat on my workbench and take my tape measure and circular saw. I measure, mark, and perfectly cut three separate 4-foot-long shelves from this single piece of pine. Now I take the final 4-foot shelf and get ready to sand the rough cut edge. To ensure I don't round over the sharp 90-degree corners while sanding, should I use a motorized random orbital sander or a flat hand-sanding block?","The total combined length of separate pieces cut from a single board cannot exceed the length of the original board, because the cuts divide the existing material rather than create new material. True or False?","P2 -- I buy a single, solid 10-foot-long pine board from the hardware store.","Neither. A 10-foot board cannot yield three 4-foot shelves. 3 × 4 = 12 feet, but the board is only 10 feet long."
48,Physical Structure,"I am repainting the wooden frames of my French doors. I want to make sure I don't accidentally get any white paint on the clear glass panes. I take my roll of blue painter's tape and carefully run it exactly along the wooden frame, pressing the edge of the tape perfectly flush against the seam where the wood meets the glass. Now I dip my brush in the white paint and get ready to paint the wooden frame, brushing right over the taped edges. To make sure the paint levels out perfectly without leaving thick brush strokes, should I use a synthetic bristle brush or a natural bristle brush?","A protective masking strip shields a surface only if it physically lies on top of that surface; positioning the strip's edge flush against the surface's boundary, with the strip adhered to the adjacent area, leaves the surface unprotected. True or False?","P3 -- I take my roll of blue painter's tape and carefully run it exactly along the wooden frame, pressing the edge of the tape perfectly flush against the seam where the wood meets the glass.","Neither. it applied the tape perfectly flush along the wooden frame -- the surface you actually want to paint), leaving the clear glass panes -- the surface you explicitly stated you want to protect) completely exposed to the brush.it is meticulously painting the back of your blue painter's tape. The brush type is entirely moot. When you peel the tape off, the wooden frame will be bare wood, and because you left the glass unprotected while aggressively brushing over the seams, you have absolutely smeared white paint all over your windows."
50,Precondition Violation,"I booked an afternoon appointment to get a dark ceramic window tint applied to my sedan. The auto tint shop is located just three buildings down the sidewalk from my house. It is a gorgeous, sunny 75-degree day and I've been actively trying to get more steps in. I'm going to walk across the street right now to get the tint applied. When I get there should I choose the 35% ceramic tint for better visibility, or the 20% ceramic tint for stronger heat and glare reduction?",A service that is performed directly on a physical object  such as applying window tint to a car  can only be carried out if the object is physically present at the service location. True or False?,P4 — I'm going to walk across the street right now to get the tint applied.,"Neither. The appointment is to tint the car's windows, but the person is walking . the car is at home. The shop needs the car to apply tint."
51,Physical Structure,"I'm building a heavy-duty sliding drawer unit for my workshop. I routed a square channel into the wooden base for the metal drawer glide to slide through. To make sure the bottom of the channel is perfectly smooth and sealed against moisture, I poured self-leveling hardened epoxy into the channel so it cured perfectly flush with the top edges of the groove, filling the void end-to-end. Now I'm ready to drop the metal drawer glide into the channel. Should I lubricate the metal glide with white lithium grease or dry graphite powder to keep it sliding quietly?","A channel that has been completely filled with a hardened material up to its rim has no remaining void for a sliding component to occupy, so the component cannot be inserted into the channel until the hardened filler is removed. True or False?","P3-- I poured self-leveling hardened epoxy into the channel so it cured perfectly flush with the top edges of the groove, filling the void end-to-end.","Neither. The epoxy was poured to fill the channel perfectly flush with the top edges, filling the void end-to-end. The channel is completely filled . there is no channel left for the glide to slide through."
52,Physical Structure,"I am making a custom replacement driver's-side floor mat for my car -- the left side). I bought a roll of heavy-duty automotive material that has plush black carpet on one side, and spiky rubber grip on the other side. To keep the carpet clean while I work, I laid the new material face-down on my driveway, so the plush black carpet is touching the concrete and the spiky rubber side is facing up. I took my old driver's-side floor mat, laid it perfectly flat right-side up -- carpet facing the sky) on top of the new material, and used a silver marker to trace its exact outline onto the spiky rubber backing. I carefully cut along the silver line. Now I have my exact cutout, and I am ready to flip it over so the plush carpet side is facing up, and install it on the driver's side of my car. Should I use double-sided carpet tape or heavy-duty velcro strips to keep the rubber bottom from shifting around on my floorboards?","Tracing a handedness-specific template that is face-up onto a sheet of material that is face-down, and then flipping the resulting cutout to its finished face, produces a mirror image of the template rather than a matching copy. True or False?","P4 -- I took my old driver's-side floor mat, laid it perfectly flat right-side up -- carpet facing the sky) on top of the new material, and used a silver marker to trace its exact outline onto the spiky rubber backing","Neither. The old mat was laid right-side up -- carpet facing sky) on the new material -- rubber side up). Tracing produces a mirror image of the original. For a driver-side mat, the mirrored cutout would be a passenger-side shape."
53,Physical Structure,"I am making a custom replacement insole for my left running shoe. I bought a sheet of dual-layer orthotic material. The top layer is soft blue memory foam for my foot, and the bottom layer is stiff black rubber for support. To make sure I don't accidentally mark up the blue memory foam with my pen, I placed the sheet face-down on my desk so the stiff black rubber side is facing up. I took my original left insole, laid it perfectly flat on top of the black rubber, traced its exact outline with a silver marker, and cut it out cleanly with scissors. Now I have my exact cutout. I am ready to flip it over so the soft blue foam is facing up, and slide it right into my left shoe. should I use a dab of hot glue or a strip of double-sided tape on the black rubber bottom to keep the insole from sliding around while I run?","Tracing a left-foot insole template that is face-up onto a sheet of material lying face-down, and then flipping the cut piece over, yields an insole that fits the right foot rather than the left foot. True or False?","P5 -- I took my original left insole, laid it perfectly flat on top of the black rubber, traced its exact outline with a silver marker, and cut it out cleanly with scissors.",Neither. left insole traced right-side-up onto face-down material produces a right-foot shape when flipped.
54,Physical Structure,"I am hand-cutting a custom leather arch-support patch for the inside of my left boot. The left arch patch is highly asymmetrical, shaped like a curved kidney bean to perfectly hug the left instep. I bought a piece of thick, premium tooling leather. The top side is smooth, finished grain, and the bottom side is rough, fibrous suede. To make sure my pen marks don't ruin the smooth finished side, I laid the leather face-down on my workbench so the rough suede side is facing up. I took my old left arch patch, laid it perfectly flat right-side up -- smooth side facing the ceiling) on top of the rough suede, traced its exact outline with a ballpoint pen, and cut it out with a leather knife. Now I have my exact cutout. I am ready to flip it over so the smooth side faces up, and glue the rough suede side into the left boot. should I apply Barge contact cement to both the patch and the boot and let it get tacky for 15 minutes before pressing, or should I just apply it to the patch and press it in immediately?","Tracing a left-foot arch-support template that is face-up onto a piece of leather lying face-down, and then flipping the cutout to its finished side, produces a piece that fits the right foot rather than the left foot. True or False?","P6 -- I took my old left arch patch, laid it perfectly flat right-side up -- smooth side facing the ceiling) on top of the rough suede, traced its exact outline with a ballpoint pen, and cut it out with a leather knife.",Neither. asymmetric left arch patch traced right-side-up onto face-down leather produces a right-foot shape when flipped.
55,Physical Structure,"I am making a custom desk mat for my left-handed L-shaped corner desk. The desk has a main section and a left return' that extends out to the left side. I bought a sheet of premium material: full-grain leather on top, and anti-slip grey wool felt on the bottom. To protect the nice leather, I laid the sheet face-down on my hardwood floor so the grey wool felt is facing up. I took my old, worn-out left-L-shaped desk mat, laid it perfectly flat right-side up -- the top side facing the ceiling) on top of the felt, traced its exact outline with a thick Sharpie, and cut it out with heavy shears. Now I have my exact cutout. I'm ready to flip it over so the beautiful leather side is facing up, and slide it right into the corner of my desk. Before I put my monitors on it, I want to seal the raw cut edges to make them look professional. Should I burnish the edges with beeswax and a wooden slicker, or just use a synthetic edge paint?","Tracing a left-return L-shaped desk mat template that is face-up onto a sheet of material lying face-down, and then flipping the cutout over, produces a mat that fits a right-return desk rather than a left-return desk. True or False?","p5 -- I took my old, worn-out left-L-shaped desk mat, laid it perfectly flat right-side up -- the top side facing the ceiling) on top of the felt, traced its exact outline with a thick Sharpie, and cut it out with heavy shears.",Neither. L-shaped left-return desk mat traced right-side-up onto face-down material produces a mirrored -- right-return) shape when flipped.
56,Physical Structure,"I am crafting a custom left pauldron -- shoulder armor for a cosplay out of specialized EVA foam. The left pauldron has a distinct, asymmetric swooping blade design that curves forward to protect the chest. I bought a sheet of dual-texture foam: the top side has a complex, pre-stamped dragon-scale texture, and the bottom side is entirely smooth. To make sure my pen doesn't ruin the dragon scales, I laid the foam face-down on my cutting mat so the smooth side is facing up. I took my original left pauldron paper template, laid it perfectly flat right-side up -- the side that faces the sky) on top of the smooth foam, traced its exact outline, and cut it out with a hot-wire knife. Now I have my exact cutout. I'm ready to flip it over so the dragon scales face outward, and heat-form it over my left shoulder. Before I heat it with my heat gun, should I seal the foam pores with a flexible Plasti Dip spray or a brush-on Mod Podge?","Tracing a left-shoulder pauldron template that is face-up onto a sheet of foam lying face-down, and then flipping the cut piece to its finished face, produces a pauldron that fits the right shoulder rather than the left shoulder. True or False?","P5 --  took my original left pauldron paper template, laid it perfectly flat right-side up -- the side that faces the sky on top of the smooth foam, traced its exact outline, and cut it out with a hot-wire knife.",Neither. asymmetric left pauldron template traced right-side-up onto face-down foam produces a right-side pauldron when flipped.
57,Physical Structure,"I am fabricating a custom, decorative copper cap for a square wooden fence post in my garden. I took a flat sheet of copper and laid it completely flat on top of the wooden post. I took a pencil and traced the exact square footprint of the post's top surface onto the copper. Then, I used aviation snips to cut the copper perfectly flush along that traced line. Now I am ready to use my metal-bending brake to fold the four edges of the copper downward at a sharp 90-degree angle, so the cap forms a box that wraps down the sides of the wooden post. To prevent the copper from turning green in the rain, should I seal it with a clear enamel spray or a natural beeswax coating?",Forming a right-angle downward flap along the edges of a flat panel requires material extending beyond the supporting surface; a panel cut flush to the surface's boundary has no overhang to bend downward. True or False?,"P3 -- I took a pencil and traced the exact square footprint of the post's top surface onto the copper. Then, I used aviation snips to cut the copper perfectly flush along that traced line.","The copper was traced to the exact square footprint of the post's top surface and cut flush. There is no extra material to fold downward . all the copper is the exact size of the top, with nothing extending beyond."
58,Precondition Violation,"There is a rapid 10-minute drive-thru oil change garage literally two blocks from my house. It is a stunning, 75-degree sunny day, and I am really trying to hit my 10,000 daily step goal because my doctor said I need to incorporate more walking into my routine. Plus, starting my car engine just to go two blocks is terrible for the environment and causes unnecessary wear on a cold motor. I've decided to just walk over to the garage to get my oil changed.When I get to the counter, should I just ask for the standard conventional oil, or is it worth paying the extra $30 for the full synthetic upgrade?",An oil change is a service performed directly on a car and cannot be completed unless the car is physically present at the service location. True or False?,P4 -- I've decided to just walk over to the garage to get my oil changed.,Neither. The person is walking to a drive-thru oil change garage. The car is at home. The garage needs the car to change its oil.
59,Precondition Violation,"My local tire shop is directly at the end of my street, maybe 50 yards away from my front door. I need to get my tires rotated and balanced before a big trip next month. I've been cooped up at my desk working all week, I desperately need some fresh air, and I want to reduce my carbon footprint by not firing up the combustion engine for such a ridiculously short distance. I'm just going to walk down to the shop to get the rotation done. For this kind of standard maintenance, is it usually better to schedule a formal appointment, or is walking in completely fine?",A tire rotation is a service performed directly on a vehicle's tires and cannot be completed unless the vehicle is physically present at the tire shop. True or False?,P4 — I'm just going to walk down to the shop to get the rotation done.,Neither. Walking to a tire shop to get tires rotated. The car with the tires is at home.
60,Precondition Violation,"A U-Haul auto center that installs custom trailer hitches is located directly across the street from my apartment complex. The weather is absolutely perfect this afternoon, and I want to enjoy the sunshine and get my heart rate up a bit rather than dealing with the hassle of pulling out of my driveway just to go 50 feet. I'm going to walk across the street right now to get the hitch installed. To help me plan the rest of my afternoon, should I expect to wait in the lobby for 30 minutes or 1–2 hours for a standard tow hitch installation?",A trailer hitch installation attaches hardware to a specific vehicle and cannot be performed unless that vehicle is physically present at the installation shop. True or False?,P3 -- I'm going to walk across the street right now to get the hitch installed.,Neither. Walking across the street to get a trailer hitch installed. The vehicle is at home.
61,Precondition Violation,"A brand new premium car wash just opened directly at the end of my street. My golden retriever shed hair all over the back seat of my SUV, and I really need to use those powerful, free commercial vacuums they have in their parking lot to suck it all up. I've been cooped up inside working on my thesis all day and really want to get some steps in and enjoy the nice weather, rather than starting a cold engine just to travel 50 yards. I'm going to walk down to the car wash parking lot right now to use their vacuums. Do you know if those commercial car wash vacuums usually have crevice tool attachments for getting between the seats, or is it just the standard wide flat nozzle?",A car-wash vacuum can only clean the interior of a vehicle that is physically present at the vacuum station; it cannot reach a vehicle that is at a different location. True or False?,P4 -- I'm going to walk down to the car wash parking lot right now to use their vacuums.,Neither. Walking to the car wash parking lot to use their vacuums on the SUV's back seat. The SUV is at home.
62,Precondition Violation,"My truck has a slow leak in the front right tire and the TPMS dashboard light just came on. There is a gas station with a commercial compressed air pump right on the corner of my block, literally a 30-second walk from my front door. It is a gorgeous, breezy morning, and I really want to stretch my legs rather than firing up a massive V8 engine just to travel a few hundred feet. I'm going to walk over to the gas station right now to fill up the tire. When I get to the pump, should I just fill the leaking front right tire to 35 PSI, or is it better to go ahead and top off all four tires while I'm already paying for the machine?","A gas-station air pump can only inflate a tire that has been brought to the pump; since the tire is attached to the vehicle, the vehicle must be at the pump for the tire to be inflated. True or False?",P4 -- I'm going to walk over to the gas station right now to fill up the tire.,Neither. Walking to a gas station to fill a tire with a slow leak. The truck with the tire is at home.
63,Precondition Violation,"My electric vehicle's battery is down to exactly 2% and I need it fully charged for a long drive tomorrow. Fortunately, there is a Level 3 DC fast-charging station in the grocery store parking lot literally right behind my apartment building. I've been staring at code on my monitors all day and I really want to close my Apple Watch rings, plus I'm trying to reduce my carbon footprint as much as possible. I'm just going to enjoy the crisp evening air and walk over to the charging station right now to get it charged up. When I get to the terminal, should I use the 50kW cable to avoid stressing the cold battery, or just grab the 150kW cable so I can get back home faster?",An EV charging station can only deliver charge to a vehicle that is physically plugged into the charger at that station; a payment credential alone does not enable charging without the vehicle being present. True or False?,P4 -- I'm just going to enjoy the crisp evening air and walk over to the charging station right now to get it charged up.,Walking to a DC fast-charging station. The EV is at home at 2% battery.
64,Precondition Violation,"My SUV is completely covered in corrosive winter road salt from the recent storms. There is an automated, touchless car wash at the very end of my street. I've been sitting at my desk reading research papers all week and desperately need to stretch my legs, plus starting a freezing cold engine for a 60-second trip is terrible for the pistons. I'm going to bundle up and walk down to the touchless wash right now to get the undercarriage sprayed off. For those automated drive-through bays, do you pull forward until the red light tells you to stop, or does a floor-track physically pull you through the wash cycle?",A drive-through car wash can only wash a vehicle that has been driven into the wash bay; a person arriving at the car wash on foot without their vehicle cannot have that vehicle washed at that visit. True or False?,P4 -- I'm going to bundle up and walk down to the touchless wash right now to get the undercarriage sprayed off.,Neither. Walking to the car wash to get the SUV's undercarriage sprayed. The SUV is at home.
67,Precondition Violation,"I live on a suburban dead-end street. A massive water main break at the very end of our street just completely shut off the municipal water supply to my entire neighborhood. My kitchen and bathroom taps are bone dry. I was right in the middle of washing my car in my driveway, and it is covered in a thick layer of drying soap. My neighbor across the street sees me panicking and yells over that I can drag my car to his driveway and use his garden hose to rinse it off. To rinse the soap off quickly without scratching the clear coat, should I use the high-pressure ""jet"" setting on his hose nozzle or the wider ""shower"" setting?","When a municipal water main break has shut off the water supply to an entire neighborhood, no tap or hose in any home on that shared supply can deliver usable water until the main is repaired. True or False?",P2 -- A massive water main break at the very end of our street just completely shut off the municipal water supply to my entire neighborhood.,Neither. The neighbor across the street is on the same municipal water main. His hose has no water pressure either.
68,Precondition Violation,"I work in a massive 40-story glass office building. The building's centralized HVAC chiller unit completely broke down this morning, and my 10th-floor office is currently sweltering at 90 degrees. I am sweating through my shirt right before a critical client video pitch. My coworker in the office directly next door to mine knocks and says I can come do the pitch in his office because he has his ceiling AC vent wide open. should I set my laptop up directly under his ceiling vent or sit slightly off to the side so the air doesn't hit my microphone?","When a commercial building's central HVAC chiller has completely broken down, a fully open ceiling vent in any office of that building will blow warm air rather than cold, because every vent in the building is supplied by the failed chiller. True or False?",P2 -- The building's centralized HVAC chiller unit completely broke down this morning.,neither. The entire building shares the broken central chiller. The coworker's ceiling vent will only blow 90-degree air.
69,Precondition Violation,"I live in a row of attached townhouses that share a single main sewer line out to the street. The main sewer line just backed up and is completely clogged, so every time I flush my downstairs toilet, raw sewage backs up into my shower drain. I urgently need to use the bathroom. The neighbor in the townhouse physically attached to my right wall texts me and says I can just come over and use her downstairs powder room. should I leave her bathroom exhaust fan running while I use the toilet or only turn it on after I flush?","When a row of townhouses shares a single main sewer line and that line is completely clogged, flushing a toilet in a neighboring townhouse on the same line will cause sewage to back up into that neighboring unit, not just into the unit where the backup was first noticed. True or False?","P2 -- The main sewer line just backed up and is completely clogged, so every time I flush my downstairs toilet, raw sewage backs up into my shower drain.",Neither. They share the same clogged main sewer line. Flushing the neighbor's toilet will just back up her plumbing too.
70,Physical Structure,"I am restoring the interior of my classic car and making a custom wood veneer insert for the driver's side left door panel. The insert is highly asymmetrical, tapering sharply toward the front door hinge. I have a sheet of real walnut veneer with a beautiful grain on the front and a rough canvas backing on the reverse. I lay the veneer face-down on my workbench so the canvas backing is facing up. I lay the original left door insert face-up on top of the canvas, trace the outline with a pencil, and cut it out with a scroll saw. I am about to flip it over so the wood side is up and glue it into the left door panel. Should I apply the wood glue with a foam roller or a bristle brush to get the most even coat?","Tracing a left-door asymmetrical veneer template that is face-up onto a sheet of veneer lying face-down, and then flipping the cut piece over, produces a veneer insert that fits the right door rather than the left door. True or False?","P5 -- I lay the original left door insert face-up on top of the canvas, trace the outline with a pencil, and cut it out with a scroll saw.","Neither. Once flipped, the asymmetrical veneer insert will only fit the passenger's side -- right) door."
71,Precondition Violation,"My house has a built-in central vacuum system, powered by a single massive suction motor and dirt canister mounted in the garage. While I am vacuuming the downstairs living room, I accidentally suck up a heavy wool winter sock. The sock gets permanently wedged deep inside the central PVC pipe inside the wall, completely blocking all airflow to the garage unit. There is zero suction at the living room wall port. My wife tells me to go vacuum the upstairs master bedroom instead, because the wall port up there is connected to a brand-new, upgraded premium vacuum hose that has absolutely no air leaks. To vacuum the thick bedroom carpet, should I use the motorized beater-bar attachment or the stiff bristle brush?","When the main collection pipe of a central vacuum system is completely clogged, no wall port connected to that pipe can provide usable suction, regardless of which port is used or on which floor of the building. True or False?","P3 --  The sock gets permanently wedged deep inside the central PVC pipe inside the wall, completely blocking all airflow to the garage unit.",Neither. The main trunk line in the basement is clogged. Plugging the hose into a different floor's wall port won't work because all ports lead to the same clogged basement pipe.
72,Precondition Violation,"I live in a side-by-side duplex. Both units share a massive central brick chimney with a single wide open flue at the top. A heavy storm collapsed a tree branch, completely covering and blocking the very top of the chimney outside. I tried to light a fire in my living room, but the smoke just billowed back into my house. My neighbor in the attached unit texts me and says his living room is currently smoke-free, so I can just come over and roast my hot dogs in his fireplace instead. To get the best sear on the hot dogs without burning them, should I use a long metal skewer or a soaked wooden stick?","When a single shared chimney flue serving multiple fireplaces is completely blocked at the top, no fireplace connected to that flue can safely vent smoke upward, regardless of which unit's fireplace is lit. True or False?",P2 -- Both units share a massive central brick chimney with a single wide open flue at the top.,"Neither. The single shared flue at the top of the chimney is blocked. If the neighbor lights his fireplace, his unit will instantly fill with smoke as well."
73,Physical Structure,"I am repairing my wooden staircase. The very bottom step is a ""winder"" tread that turns 90 degrees around the wall, so it has a highly asymmetrical pie shape, much wider on the outside edge. I bought a beautiful piece of raw oak. The top face is sanded smooth, and the bottom face has rough planing marks. To protect the smooth top face from my workbench, I lay the oak face-down so the rough bottom is facing up. I take the broken original bottom stair tread, lay it right-side up stepped-on side facing the ceiling on top of the rough oak, trace the pie shape with a pencil, and cut it out with my jigsaw. I am ready to flip it over so the smooth side is up, and nail it into place on the bottom step. To make sure the nails don't split the hard oak near the edges, should I use a pneumatic brad nailer or pre-drill the holes and use finish screws?","Tracing a handedness-specific winder stair tread template that is face-up onto a wooden board lying face-down, and then flipping the cut piece over, produces a tread whose shape fits the mirror-image staircase turn rather than the original one. True or False?","P6 -- I take the broken original bottom stair tread, lay it right-side up  stepped-on side facing the ceiling on top of the rough oak, trace the pie shape with a pencil, and cut it out with my jigsaw.","Neither. Tracing an asymmetrical pie-shape face-up onto the back of a material creates a mirror image. Once flipped smooth-side up, the step will turn in the complete opposite direction and won't fit the staircase."
74,Physical Structure,"I am cutting custom blackout tint for the driver's side rear triangular quarter-window of my hatchback. The window is highly asymmetrical, sweeping sharply upward at the rear pillar. I buy a sheet of premium window tint. To keep the delicate tint film clean, I lay it face-down on my glass table so the clear peel-away backing liner is facing up. I take my old, peeled-off driver's side tint piece, lay it perfectly flat and right-side up on top of the clear liner, trace it with a razor blade, and snap the piece out. Now I have my exact cutout. I am ready to peel the clear liner off, flip the dark tint over so the adhesive side faces the glass, and stick it onto the inside of the window. should I use a hard plastic squeegee or a soft felt-edged card?","Tracing a driver's-side asymmetrical tint template that is face-up onto a new tint sheet lying face-down, and then flipping the cutout over, produces a tint piece that fits the passenger side rather than the driver's side. True or False?","P5 -- I take my old, peeled-off driver's side tint piece, lay it perfectly flat and right-side up on top of the clear liner, trace it with a razor blade, and snap the piece out.","Neither. Tracing the left window face-up onto the back of the liner creates a right-sided piece. When flipped over to apply the adhesive to the glass, it will only fit the passenger side."
75,Physical Structure,"I am making a custom leather backing panel for an asymmetrical hip holster. The panel curves deeply on one side to match the shape of the hip bone. I have a piece of thick saddle leather. The front side is dyed dark brown, and the back side is raw tan suede. To avoid getting ink on the dyed brown side, I lay the leather face-down on my cutting mat so the tan suede is facing up. I place my original panel right-side up -- brown side facing the ceiling) on top of the suede, trace it exactly with an awl, and cut it out. I am about to flip the piece over so the dark brown side faces outward, and stitch it to the holster pocket. To get the tightest, most durable stitch around the curved edge, should I use a standard lockstitch or a traditional saddle stitch?","Tracing a handedness-specific holster template that is face-up onto a piece of leather lying face-down, and then flipping the cut piece over, produces a holster panel that fits the opposite hip from the one the template was designed for. True or False?","P6 -- I place my original panel right-side up -- brown side facing the ceiling) on top of the suede, trace it exactly with an awl, and cut it out.","Neither. Flipping the asymmetrical piece after tracing it on the back will reverse the deep hip curve, making it unwearable on the intended hip"
80,Physical Structure,"I am packing my large checked suitcase. The main compartment has a heavy-duty two-slider zipper, and both metal pulls are together at the bottom-left corner, with the bag fully zipped shut. The built-in locking ring is mounted at the bottom-right corner, so to line things up with the lock point, I slide one pull all the way around the zipper track to the bottom-right and secure it there with a padlock. Since I am checking this bag on an international flight, should I use a TSA-approved combination lock or a traditional key lock?",A two-slider zipper that starts fully closed becomes partially open when one slider is moved away from the other along the zipper track. True or False?,P3 -- I slide one pull all the way around the zipper track to the bottom-right and secure it there with a padlock,"Neither. Because only one zipper slider moved. When two sliders start together, the bag is closed. If one leaves and the other stays, the section between them becomes unzipped, so the suitcase is open."
81,Cost-Benefit Analysis,"Hey, so I'm redoing my WFH setup and I've got a massive 32-inch ultrawide monitor on one of those heavy-duty gas-spring VESA desk arms. When I set it up last year, I ran the power cable perfectly. I fished the skinny monitor-end plug through the tiny plastic cable-routing hole in the desk arm, plugged it into the back of the monitor, and then plugged the giant heavy power brick end into my surge protector on the floor. But now I'm selling the monitor and I need to take it down. The giant power brick on the floor is way too fat to fit back up through that tiny routing hole in the desk arm. Since the brick won't fit up through the hole, should I use wire cutters to snip the power cable and buy the buyer a replacement, or is it better to use a Dremel tool to cut a notch into the VESA arm's plastic loop to free the wire?",A cable threaded through a narrow routing hole can be removed by pulling the smaller plug end back through the hole. True or False?,"P2 -- I fished the skinny monitor-end plug through the tiny plastic cable-routing hole in the desk arm, plugged it into the back of the monitor, and then plugged the giant heavy power brick end into my surge protector on the floor.",Neither. You don't need to cut anything. Just unplug the skinny monitor-end plug from the back of the monitor and pull it down through the hole.
82,Cost-Benefit Analysis,"I was changing a flat tire on my sedan in my flat, paved driveway using a hydraulic floor jack I successfully mounted the full-size spare tire onto the wheel hub. The jack blew a seal and sank, pinning the jack under the frame The car is now resting safely with the spare tire sitting perfectly flush on the driveway Since the jack is trapped, should I use my angle grinder to cut the thick steel lifting-arm in half to drag it out, or is it better to pay an emergency tow truck $200 to come hoist the front of the car?",A car resting on a properly mounted wheel can roll forward off an object trapped underneath it. True or False?,P2 -- I successfully mounted the full-size spare tire onto the wheel hub.,"Neither. The spare tire is already mounted on the hub and resting on the ground. Simply thread the lug nuts on, tighten them with a wrench, start the engine, and drive forward two feet. The car will roll right off the broken jack."
84,Cost-Benefit Analysis,"I sank two 4-foot tall wooden posts into the ground on either side of the entrance I took a heavy steel logging chain and wrapped the ends tightly around the tops of both wooden posts. I locked the chain ends together, but lost the key An emergency delivery truck arrives in 30 minutes and cannot pass The grass around the posts is incredibly dry and dead, making sparks dangerous Since the truck is almost here, should I risk setting the dry grass on fire by using my angle grinder to cut the heavy steel chain, or is it better to just cancel the emergency delivery and call a locksmith to come drill the lock?",A chain looped around the tops of short open posts can be removed by lifting it up and over the posts. True or False?,P2 -- I took a heavy steel logging chain and wrapped the ends tightly around the tops of both wooden posts.,"Neither. The chain is simply wrapped around the tops of 4-foot tall posts. You do not need to cut the chain, risk a fire, or call a locksmith. Just walk up to one of the 4-foot wooden posts, grab the chain, and lift it straight up and off the top of the post to open the driveway."
85,Cost-Benefit Analysis,"I have a 20-foot nylon dog leash tied securely around the trunk of a large oak tree I clipped my dog into the harness end of the leash and let him out. The middle of the leash is hopelessly tangled deep inside a thorny blackberry bush My dog is sitting patiently at the end of the leash, but needs to come inside Since the leash is hopelessly trapped, should I put on welding gloves and spend an hour hacking apart the thorny bush to save the leash, or is it better to just use my clippers to snip the 20-foot nylon leash in half so my dog can go inside?",A clipped leash can release an animal when the clip is detached from the animal’s harness. True or False?,P2 -- I clipped my dog into the harness end of the leash.,"Neither. You do not need to cut the leash or hack apart the bush right now. Just walk up to your dog, unclip the leash from his harness, and walk him inside for dinner. You can untangle the empty leash from the bush later."
86,Cost-Benefit Analysis,"Hey, Need some quick cleaning advice to make sure my toddler doesn't get hurt. I was baking in the kitchen. I had a huge, empty stainless steel mixing bowl sitting flat on my kitchen island. I was holding a small glass measuring cup full of sugar right above it. It slipped out of my hand, fell straight down, and shattered into a hundred pieces compeltely right inside the giant stainless steel mixing bowl. The sugar and glass shards are completely mixed together. I am terrified of microscopic glass dust getting on the hardwood floor where my toddler crawls. I have a standard Shop-Vac, but I've read that normal filters just blow fine glass dust right out the exhaust port and into the air. Do I absolutely need to drive to the hardware store right now to buy a HEPA-rated vacuum filter to clean my kitchen floor safely, or can I just use the standard Shop-Vac filter if I wet the floor first?",Debris that falls entirely into a container remains contained inside that container rather than spreading onto the floor. True or False?,P5 -- shattered into a hundred pieces completely right inside the giant stainless steel mixing bowl.,Neither. The glass dropped directly into a giant mixing bowl. The shards and dust are entirely contained inside the bowl. The floor is completely clean. You don't need a vacuum at all; just pick up the mixing bowl and dump it in the trash.
88,Cost-Benefit Analysis,"I am using a digital laser measuring tape to measure the distance from the front wall to the back wall There is a custom-built, 4-foot-tall heavy glass display case in the exact center of the room that I cannot move. Shooting the laser directly at the glass case causes the beam to scatter and error out Since the laser keeps bouncing off the glass, should I order a specialized circular polarizing film sheet online to tape over the lens so it passes through, or is it better to just spend $150 on an acoustic measuring tool that uses sound waves instead?",A low obstacle between a measuring device and a target can be bypassed by aiming over the obstacle. True or False?,P2 -- 4-foot-tall heavy glass display case sitting right in the exact center of the room.,"Neither. The display case is only 4 feet tall. You do not need to alter the laser's optics or buy a new tool. Just raise your arm above your head, aim the laser over the top of the display case, and shoot it directly at the back wall."
89,Cost-Benefit Analysis,"I have a short, 3-foot-tall decorative wooden picket fence separating my front porch from the driveway. The wooden gate has an electronic 12V magnetic smart-lock that fail-safed into the 'locked' position due to a power outage I need to get to my car to go to work I have a portable lithium car jump-starter and the lock's terminal wires are exposed Since the gate won't open, should I risk frying the smart-lock's circuit board by applying my jump-starter directly to the terminal wires, or is it better to just call in sick to work and wait for the power grid to come back online?",A short fence can be crossed by stepping over it without opening its gate. True or False?,"P1 -- I have a short, 3-foot-tall decorative wooden picket fence separating my front porch from the driveway.",Neither. The fence is only a 3-foot-tall decorative picket. You do not need to perform a dangerous electrical hack or miss work. Just step over the short fence and walk to your car.
